FORMULARIO,,,DIGNIDAD,LISTA,PARTIDO,,,PROVINCIA,CIRCUNSCRIPCIÓN,NOMBRE,NOMBRE DE PAPELETA,ORDEN,RESOLUCIÓN,FECHA DE CALIFICACIÓN
4,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,ESMERALDAS                                        ,,GUEVARA RODRIGUEZ OCTAVIA SARA,SARA GUEVARA RODRIGUEZ,4,PLE-JPEE-006-05-10-2020,10/5/20 0:00
4,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,ESMERALDAS                                        ,,OREJUELA BAUTISTA MARIA MARGARITA,MARIA MARGARITA OREJUELA,2,PLE-JPEE-006-05-10-2020,10/5/20 0:00
4,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,ESMERALDAS                                        ,,GARCES PRECIADO BYRON MAURICIO,BYRON GARCES,3,PLE-JPEE-006-05-10-2020,10/5/20 0:00
4,,,ASAMBLEISTAS PROVINCIALES,2,PARTIDO UNIDAD POPULAR,,,ESMERALDAS                                        ,,QUIÑONEZ CARVAJAL TONY PORFILIO,TONY QUIÑONEZ CARVAJAL,1,PLE-JPEE-006-05-10-2020,10/5/20 0:00
5,,,ASAMBLEISTAS PROVINCIALES,63,MOVIMIENTO COALICION DE LOS COMUNES,,,CHIMBORAZO                                        ,,CHILUIZA ROMERO FAUSTO MARCELO,FAUSTO CHILUIZA ROMERO,3,PLE-JPECH-19-11-10-2020,10/11/20 18:00
5,,,ASAMBLEISTAS PROVINCIALES,63,MOVIMIENTO COALICION DE LOS COMUNES,,,CHIMBORAZO                                        ,,TENEMUELA CARMILEMA MARIA GABRIELA,MARIA GABRIELA TENEMUELA,4,PLE-JPECH-19-11-10-2020,10/11/20 18:00
5,,,ASAMBLEISTAS PROVINCIALES,63,MOVIMIENTO COALICION DE LOS COMUNES,,,CHIMBORAZO                                        ,,PORRAS PUMALEMA JESSENIA NATALY,JESSENIA PORRAS PUMALEMA,2,PLE-JPECH-19-11-10-2020,10/11/20 18:00
5,,,ASAMBLEISTAS PROVINCIALES,63,MOVIMIENTO COALICION DE LOS COMUNES,,,CHIMBORAZO                                        ,,HERVAS PARRA AQUILES ALFREDO,AQUILES HERVAS PARRA,1,PLE-JPECH-19-11-10-2020,10/11/20 18:00
6,,,ASAMBLEISTAS POR EL EXTERIOR,2,PARTIDO UNIDAD POPULAR,,,EE.UU CANADA                                      ,,BERMEO ORTIZ JENNY KARINA,KARINA BERMEO,2,PLE-JEE-8-11-10-2O2O-P-IC,9/29/20 0:00
6,,,ASAMBLEISTAS POR EL EXTERIOR,2,PARTIDO UNIDAD POPULAR,,,EE.UU CANADA                                      ,,ARIZAGA ANDRADE JESUS ANTONIO,ANTONIO ARIZAGA,1,PLE-JEE-8-11-10-2O2O-P-IC,9/29/20 0:00
